"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,34,,
"AUT","Austria","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,31.5,,
"BEL","Belgium","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,38.4,,
"CAN","Canada","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,31.3,,
"CZE","Czech Republic","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,17.2,,
"DNK","Denmark","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,33.6,,
"FIN","Finland","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,35.1,,
"FRA","France","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,45.1,,
"DEU","Germany","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,36.3,,
"GRC","Greece","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,13,,
"HUN","Hungary","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,9.9,,
"ISL","Iceland","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,44.4,,
"IRL","Ireland","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,28.8,,
"ITA","Italy","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,38.4,,
"JPN","Japan","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,10.7,,
"KOR","Korea","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,4.9,,
"LUX","Luxembourg","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,18.2,,
"MEX","Mexico","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,9,,
"NLD","Netherlands","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,36.6,,
"NZL","New Zealand","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,42.3,,
"NOR","Norway","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,40.4,,
"POL","Poland","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,22.8,,
"PRT","Portugal","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,26.6,,
"SVK","Slovak Republic","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,31.4,,
"ESP","Spain","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,29.3,,
"SWE","Sweden","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,38,,
"CHE","Switzerland","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,26.1,,
"TUR","Turkey","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,17.5,,
"GBR","United Kingdom","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,34.7,,
"USA","United States","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,28.2,,
"BRA","Brazil","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,13.7,,
"CHL","Chile","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,9.9,,
"CHN","China (People's Republic of)","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,13,,
"COL","Colombia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,12.5,,
"EST","Estonia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,8.8,,
"IND","India","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,16.6,,
"IDN","Indonesia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,5.7,,
"ISR","Israel","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,24.3,,
"LVA","Latvia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,25.6,,
"LTU","Lithuania","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,14.3,,
"RUS","Russia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,10.4,,
"SVN","Slovenia","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,22.9,,
"ZAF","South Africa","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,28.8,,
"OAVG","OECD - Average","EMP11","Female share of seats on boards of the largest publicly listed companies","WOMEN","Women","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,26.7,,
"AUS","Australia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"AUS","Australia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12,,
"AUS","Australia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,34,,
"AUS","Australia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,34,,
"AUS","Australia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"AUS","Australia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"AUS","Australia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"AUS","Australia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,2,,
"AUT","Austria","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"AUT","Austria","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"AUT","Austria","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,87.3,,
"AUT","Austria","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,87.3,,
"AUT","Austria","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,60,,
"AUT","Austria","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,60,,
"AUT","Austria","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,13,,
"AUT","Austria","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17.3,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,32.3,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,32.3,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,19.3,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20.3,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,35,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,35,,
"CAN","Canada","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,51,,
"CAN","Canada","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,51,,
"CAN","Canada","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,5,,
"CAN","Canada","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,5,,
"CZE","Czech Republic","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,28,,
